,employee_name,rental_date,rental_rate,customer_name,rental_id,film_id
0,Mike Hillyer,2005-05-24 22:53:30.000,2.99,CHARLOTTE HUNTER,1,80
1,Mike Hillyer,2005-05-24 22:54:33.000,2.99,TOMMY COLLAZO,2,333
2,Mike Hillyer,2005-05-24 23:03:39.000,2.99,MANUEL MURRELL,3,373
3,Mike Hillyer,2005-05-24 23:05:21.000,2.99,DELORES HANSEN,5,450
4,Mike Hillyer,2005-05-24 23:08:07.000,0.99,NELSON CHRISTENSON,6,613
5,Mike Hillyer,2005-05-25 00:00:40.000,4.99,ELLEN SIMPSON,9,565
6,Mike Hillyer,2005-05-25 00:22:55.000,4.99,RAYMOND MCWHORTER,13,499
7,Mike Hillyer,2005-05-25 00:31:15.000,0.99,THEODORE CULP,14,593
8,Mike Hillyer,2005-05-25 00:39:22.000,4.99,RONALD WEINER,15,670
9,Mike Hillyer,2005-05-25 01:06:36.000,2.99,ISAAC OGLESBY,17,181
10,Mike Hillyer,2005-05-25 01:17:24.000,4.99,RONNIE RICKETTS,19,422
11,Mike Hillyer,2005-05-25 02:40:21.000,4.99,BARRY LOVELACE,23,971
12,Mike Hillyer,2005-05-25 02:53:02.000,4.99,JUAN FRALEY,24,721
13,Mike Hillyer,2005-05-25 03:36:50.000,0.99,BILLY POULIN,26,953
14,Mike Hillyer,2005-05-25 04:01:32.000,0.99,RAY HOULE,30,819
15,Mike Hillyer,2005-05-25 04:05:17.000,4.99,FRED WHEAT,31,979
16,Mike Hillyer,2005-05-25 04:06:21.000,0.99,JOY GEORGE,32,839
17,Mike Hillyer,2005-05-25 04:18:51.000,0.99,KAY CALDWELL,33,367
18,Mike Hillyer,2005-05-25 04:36:26.000,2.99,BONNIE HUGHES,36,288
19,Mike Hillyer,2005-05-25 04:44:31.000,0.99,JAVIER ELROD,37,89
20,Mike Hillyer,2005-05-25 04:47:44.000,2.99,MICHAEL SILVERMAN,38,557
21,Mike Hillyer,2005-05-25 05:09:04.000,4.99,MARVIN YEE,40,579
22,Mike Hillyer,2005-05-25 05:12:29.000,0.99,YVONNE WATKINS,41,382
23,Mike Hillyer,2005-05-25 06:05:20.000,2.99,VIRGINIA GREEN,47,478
24,Mike Hillyer,2005-05-25 06:20:46.000,0.99,JENNY CASTRO,48,387
25,Mike Hillyer,2005-05-25 06:49:10.000,4.99,MABEL HOLLAND,51,278
26,Mike Hillyer,2005-05-25 08:26:13.000,2.99,MONICA HICKS,55,252
27,Mike Hillyer,2005-05-25 08:28:11.000,2.99,CHESTER BENNER,56,298
28,Mike Hillyer,2005-05-25 08:53:14.000,4.99,MATTHEW MAHAN,58,670
29,Mike Hillyer,2005-05-25 08:56:42.000,4.99,MANUEL MURRELL,59,633
30,Mike Hillyer,2005-05-25 08:58:25.000,2.99,GORDON ALLARD,60,73
31,Mike Hillyer,2005-05-25 09:18:52.000,2.99,CHAD CARBONE,62,58
32,Mike Hillyer,2005-05-25 09:19:16.000,0.99,MARTIN BALES,63,873
33,Mike Hillyer,2005-05-25 09:21:29.000,2.99,HARRY ARCE,64,16
34,Mike Hillyer,2005-05-25 09:32:03.000,4.99,ARTHUR SIMPKINS,65,776
35,Mike Hillyer,2005-05-25 10:26:39.000,0.99,ROBIN HAYES,71,525
36,Mike Hillyer,2005-05-25 11:13:34.000,4.99,BEN EASTER,75,745
37,Mike Hillyer,2005-05-25 12:17:46.000,2.99,JESUS MCCARTNEY,82,304
38,Mike Hillyer,2005-05-25 12:30:15.000,4.99,MONICA HICKS,83,103
39,Mike Hillyer,2005-05-25 12:36:30.000,2.99,LESTER KRAUS,84,397
40,Mike Hillyer,2005-05-25 13:05:34.000,4.99,VINCENT RALSTON,85,103
41,Mike Hillyer,2005-05-25 13:36:12.000,0.99,NORA HERRERA,86,491
42,Mike Hillyer,2005-05-25 14:28:29.000,2.99,MARC OUTLAW,89,471
43,Mike Hillyer,2005-05-25 14:31:25.000,4.99,DEBORAH WALKER,90,654
44,Mike Hillyer,2005-05-25 14:57:22.000,4.99,MARGIE WADE,91,28
45,Mike Hillyer,2005-05-25 15:54:16.000,0.99,BOBBIE CRAIG,93,951
46,Mike Hillyer,2005-05-25 16:03:42.000,0.99,SUE PETERS,94,366
47,Mike Hillyer,2005-05-25 16:50:20.000,4.99,MARIE TURNER,99,117
48,Mike Hillyer,2005-05-25 16:50:28.000,2.99,LUCY WHEELER,100,571
49,Mike Hillyer,2005-05-25 17:17:04.000,4.99,TIM CARY,101,134
50,Mike Hillyer,2005-05-25 17:22:10.000,0.99,DOUGLAS GRAF,102,82
51,Mike Hillyer,2005-05-25 17:30:42.000,2.99,ERNEST STEPP,103,735
52,Mike Hillyer,2005-05-25 17:46:33.000,0.99,DANIEL CABRAL,104,932
53,Mike Hillyer,2005-05-25 18:30:05.000,2.99,GLENDA FRAZIER,108,724
54,Mike Hillyer,2005-05-25 18:45:19.000,4.99,COLLEEN BURTON,111,814
55,Mike Hillyer,2005-05-25 18:57:24.000,4.99,REGINALD KINDER,112,465
56,Mike Hillyer,2005-05-25 19:12:42.000,0.99,LESLIE SEWARD,114,982
57,Mike Hillyer,2005-05-25 19:13:25.000,0.99,JON WILES,115,164
58,Mike Hillyer,2005-05-25 19:27:51.000,4.99,CAROL GARCIA,116,973
59,Mike Hillyer,2005-05-25 19:31:18.000,0.99,JARED ELY,118,191
60,Mike Hillyer,2005-05-25 19:41:29.000,2.99,LEONARD SCHOFIELD,121,234
61,Mike Hillyer,2005-05-25 19:46:21.000,2.99,PRISCILLA LOWE,122,638
62,Mike Hillyer,2005-05-25 20:26:42.000,4.99,CHRISTINE ROBERTS,123,390
63,Mike Hillyer,2005-05-25 20:48:50.000,4.99,HARRY ARCE,125,212
64,Mike Hillyer,2005-05-25 21:07:59.000,2.99,ALEXANDER FENNELL,126,445
65,Mike Hillyer,2005-05-25 21:10:40.000,0.99,NORMA GONZALES,127,440
66,Mike Hillyer,2005-05-25 21:19:53.000,4.99,AMANDA CARTER,128,941
67,Mike Hillyer,2005-05-25 21:46:54.000,0.99,ZACHARY HITE,132,738
68,Mike Hillyer,2005-05-25 21:48:41.000,0.99,DELORES HANSEN,134,491
69,Mike Hillyer,2005-05-25 21:58:58.000,4.99,DAVID ROYAL,135,21
70,Mike Hillyer,2005-05-25 22:02:30.000,4.99,NATHANIEL ADAM,136,500
71,Mike Hillyer,2005-05-25 23:00:21.000,2.99,MARSHA DOUGLAS,139,73
72,Mike Hillyer,2005-05-25 23:34:22.000,0.99,JUSTIN NGO,140,142
73,Mike Hillyer,2005-05-25 23:34:53.000,0.99,JULIA FLORES,141,176
74,Mike Hillyer,2005-05-25 23:59:03.000,0.99,KATHRYN COLEMAN,145,852
75,Mike Hillyer,2005-05-26 00:37:28.000,0.99,BETTY WHITE,151,646
76,Mike Hillyer,2005-05-26 00:41:10.000,4.99,EVELYN MORGAN,152,575
77,Mike Hillyer,2005-05-26 00:47:47.000,0.99,ROGER QUINTANILLA,153,849
78,Mike Hillyer,2005-05-26 01:15:05.000,4.99,CLAYTON BARBEE,155,65
79,Mike Hillyer,2005-05-26 01:19:05.000,2.99,WARREN SHERROD,156,702
80,Mike Hillyer,2005-05-26 01:34:28.000,2.99,RAFAEL ABNEY,159,757
81,Mike Hillyer,2005-05-26 01:46:20.000,2.99,KRISTINA CHAMBERS,160,410
82,Mike Hillyer,2005-05-26 01:51:48.000,0.99,RENEE LANE,161,646
83,Mike Hillyer,2005-05-26 02:26:23.000,4.99,RITA GRAHAM,163,501
84,Mike Hillyer,2005-05-26 02:26:49.000,4.99,MEGAN PALMER,164,239
85,Mike Hillyer,2005-05-26 02:28:36.000,0.99,ANNA HILL,165,600
86,Mike Hillyer,2005-05-26 02:49:11.000,0.99,JASON MORRISSEY,166,850
87,Mike Hillyer,2005-05-26 02:50:31.000,4.99,TONY CARRANZA,167,190
88,Mike Hillyer,2005-05-26 03:11:12.000,2.99,FLORENCE WOODS,170,806
89,Mike Hillyer,2005-05-26 04:26:06.000,4.99,RUTH MARTINEZ,179,563
90,Mike Hillyer,2005-05-26 04:46:23.000,4.99,TAMMY SANDERS,180,603
91,Mike Hillyer,2005-05-26 05:01:18.000,0.99,MAXINE SILVA,183,631
92,Mike Hillyer,2005-05-26 05:29:49.000,0.99,ARMANDO GRUBER,184,429
93,Mike Hillyer,2005-05-26 05:42:37.000,2.99,ANDRE RAPP,187,872
94,Mike Hillyer,2005-05-26 05:47:12.000,4.99,LYDIA BURKE,188,734
95,Mike Hillyer,2005-05-26 06:01:41.000,4.99,STELLA MORENO,189,219
96,Mike Hillyer,2005-05-26 06:11:28.000,0.99,JESSIE MILAM,190,863
97,Mike Hillyer,2005-05-26 06:14:06.000,0.99,ALLEN BUTTERFIELD,191,951
98,Mike Hillyer,2005-05-26 06:20:37.000,2.99,RANDALL NEUMANN,192,413
99,Mike Hillyer,2005-05-26 06:55:58.000,2.99,VIVIAN RUIZ,196,43
100,Mike Hillyer,2005-05-26 07:03:49.000,0.99,TERESA ROGERS,198,388
101,Mike Hillyer,2005-05-26 07:11:58.000,2.99,KATHY JAMES,199,462
102,Mike Hillyer,2005-05-26 07:12:21.000,4.99,KEVIN SCHULER,200,856
103,Mike Hillyer,2005-05-26 07:27:36.000,0.99,SHARON ROBINSON,202,147
104,Mike Hillyer,2005-05-26 07:27:57.000,2.99,EDNA WEST,203,740
105,Mike Hillyer,2005-05-26 07:30:37.000,0.99,CLAUDE HERZOG,204,401
106,Mike Hillyer,2005-05-26 08:01:54.000,0.99,CARL ARTIS,206,374
107,Mike Hillyer,2005-05-26 08:10:22.000,4.99,NAOMI JENNINGS,208,803
108,Mike Hillyer,2005-05-26 08:14:01.000,4.99,CARLOS COUGHLIN,209,159
109,Mike Hillyer,2005-05-26 08:33:10.000,2.99,BEATRICE ARNOLD,211,872
110,Mike Hillyer,2005-05-26 09:17:43.000,0.99,LOIS BUTLER,216,306
111,Mike Hillyer,2005-05-26 09:41:45.000,4.99,RICARDO MEADOR,219,676
112,Mike Hillyer,2005-05-26 10:06:49.000,4.99,LONNIE TIRADO,220,279
113,Mike Hillyer,2005-05-26 10:14:09.000,2.99,LESLIE GORDON,221,783
114,Mike Hillyer,2005-05-26 10:15:23.000,4.99,LEON BOSTIC,223,686
115,Mike Hillyer,2005-05-26 10:18:27.000,4.99,BRIAN WYMAN,224,933
116,Mike Hillyer,2005-05-26 10:51:46.000,4.99,ROBERT BAUGHMAN,227,48
117,Mike Hillyer,2005-05-26 10:54:28.000,4.99,JOHNNIE CHISHOLM,228,113
118,Mike Hillyer,2005-05-26 11:31:50.000,0.99,JEAN BELL,230,242
119,Mike Hillyer,2005-05-26 11:31:59.000,4.99,BRUCE SCHWARZ,231,878
120,Mike Hillyer,2005-05-26 11:51:09.000,2.99,SHERRY MARSHALL,235,773
121,Mike Hillyer,2005-05-26 11:53:49.000,0.99,THEODORE CULP,236,280
122,Mike Hillyer,2005-05-26 12:15:13.000,0.99,FERNANDO CHURCHILL,237,54
123,Mike Hillyer,2005-05-26 12:30:22.000,4.99,STACEY MONTGOMERY,238,112
124,Mike Hillyer,2005-05-26 12:40:23.000,4.99,GLADYS HAMILTON,240,749
125,Mike Hillyer,2005-05-26 13:05:08.000,0.99,KRISTIN JOHNSTON,242,454
126,Mike Hillyer,2005-05-26 13:40:40.000,2.99,MARSHA DOUGLAS,244,232
127,Mike Hillyer,2005-05-26 14:30:24.000,4.99,MATHEW BOLIN,250,81
128,Mike Hillyer,2005-05-26 14:35:40.000,0.99,ROSEMARY SCHMIDT,251,948
129,Mike Hillyer,2005-05-26 14:39:53.000,4.99,BRITTANY RILEY,252,267
130,Mike Hillyer,2005-05-26 14:43:14.000,0.99,JEFFERY PINSON,253,650
131,Mike Hillyer,2005-05-26 14:52:15.000,4.99,GRACE ELLIS,255,719
132,Mike Hillyer,2005-05-26 15:20:58.000,2.99,TROY QUIGLEY,256,702
133,Mike Hillyer,2005-05-26 16:07:38.000,0.99,WILLIAM SATTERFIELD,265,492
134,Mike Hillyer,2005-05-26 16:19:08.000,0.99,TAMMY SANDERS,268,374
135,Mike Hillyer,2005-05-26 16:48:51.000,0.99,PAUL TROUT,274,142
136,Mike Hillyer,2005-05-26 17:09:53.000,0.99,PAULINE HENRY,275,374
137,Mike Hillyer,2005-05-26 17:16:07.000,4.99,JEAN BELL,276,271
138,Mike Hillyer,2005-05-26 17:32:11.000,2.99,JANET PHILLIPS,277,308
139,Mike Hillyer,2005-05-26 18:36:58.000,2.99,SALLY PIERCE,280,413
140,Mike Hillyer,2005-05-26 19:05:05.000,2.99,GLENDA FRAZIER,283,772
141,Mike Hillyer,2005-05-26 19:44:54.000,2.99,DONNA THOMPSON,287,792
142,Mike Hillyer,2005-05-26 20:01:09.000,0.99,ANDREA HENDERSON,289,534
143,Mike Hillyer,2005-05-26 20:08:33.000,2.99,FREDERICK ISBELL,290,609
144,Mike Hillyer,2005-05-26 20:22:12.000,2.99,ANDRE RAPP,292,927
145,Mike Hillyer,2005-05-26 20:29:57.000,4.99,FRED WHEAT,294,603
146,Mike Hillyer,2005-05-26 21:21:28.000,2.99,CHRISTIAN JUNG,304,370
147,Mike Hillyer,2005-05-26 21:31:57.000,0.99,KURT EMMONS,306,610
148,Mike Hillyer,2005-05-26 21:48:13.000,4.99,AARON SELBY,307,244
149,Mike Hillyer,2005-05-26 22:41:07.000,2.99,RODNEY MOELLER,310,129
150,Mike Hillyer,2005-05-26 22:51:37.000,2.99,VICKI FIELDS,311,621
151,Mike Hillyer,2005-05-26 23:12:55.000,4.99,NELLIE GARRETT,315,624
152,Mike Hillyer,2005-05-26 23:52:13.000,2.99,JANE BENNETT,319,664
153,Mike Hillyer,2005-05-27 00:47:35.000,4.99,TYLER WREN,322,994
154,Mike Hillyer,2005-05-27 00:49:27.000,2.99,CLARA SHAW,323,514
155,Mike Hillyer,2005-05-27 01:00:04.000,0.99,MISTY LAMBERT,324,738
156,Mike Hillyer,2005-05-27 01:18:57.000,4.99,DAWN SULLIVAN,327,588
157,Mike Hillyer,2005-05-27 01:29:31.000,2.99,JIM REA,328,554
158,Mike Hillyer,2005-05-27 02:22:26.000,4.99,KELLY TORRES,331,408
159,Mike Hillyer,2005-05-27 03:03:07.000,4.99,KRISTEN CHAVEZ,334,865
160,Mike Hillyer,2005-05-27 03:15:23.000,2.99,CAROLE BARNETT,336,393
161,Mike Hillyer,2005-05-27 03:22:30.000,0.99,RUTH MARTINEZ,337,164
162,Mike Hillyer,2005-05-27 04:01:42.000,0.99,GLORIA COOK,341,906
163,Mike Hillyer,2005-05-27 04:13:41.000,0.99,JON WILES,343,727
164,Mike Hillyer,2005-05-27 04:32:25.000,2.99,CLARA SHAW,345,305
165,Mike Hillyer,2005-05-27 04:50:56.000,4.99,JORGE OLIVARES,348,396
166,Mike Hillyer,2005-05-27 05:39:03.000,4.99,KIM CRUZ,351,739
167,Mike Hillyer,2005-05-27 05:48:19.000,0.99,DARLENE ROSE,352,953
168,Mike Hillyer,2005-05-27 06:12:26.000,2.99,TOM MILNER,354,447
169,Mike Hillyer,2005-05-27 06:48:33.000,4.99,ALICIA MILLS,359,255
170,Mike Hillyer,2005-05-27 06:51:14.000,4.99,EDUARDO HIATT,360,764
171,Mike Hillyer,2005-05-27 07:03:28.000,0.99,SERGIO STANFIELD,361,1
172,Mike Hillyer,2005-05-27 07:10:25.000,0.99,JOANNE ROBERTSON,362,504
173,Mike Hillyer,2005-05-27 07:31:20.000,0.99,SALLY PIERCE,365,634
174,Mike Hillyer,2005-05-27 08:16:25.000,0.99,JEROME KENYON,373,360
175,Mike Hillyer,2005-05-27 08:26:30.000,0.99,JERRY JORDON,374,966
176,Mike Hillyer,2005-05-27 08:49:21.000,2.99,CHARLES KOWALSKI,375,394
177,Mike Hillyer,2005-05-27 08:58:15.000,2.99,LONNIE TIRADO,376,702
178,Mike Hillyer,2005-05-27 09:23:22.000,2.99,HEATHER MORRIS,378,484
179,Mike Hillyer,2005-05-27 09:25:32.000,2.99,SALVADOR TEEL,379,759
180,Mike Hillyer,2005-05-27 09:34:39.000,4.99,JUNE CARROLL,380,385
181,Mike Hillyer,2005-05-27 09:43:25.000,4.99,BILLY POULIN,381,603
182,Mike Hillyer,2005-05-27 10:12:00.000,0.99,IDA ANDREWS,382,949
183,Mike Hillyer,2005-05-27 10:12:20.000,0.99,ERIKA PENA,383,213
184,Mike Hillyer,2005-05-27 10:26:31.000,0.99,EDNA WEST,386,285
185,Mike Hillyer,2005-05-27 10:37:27.000,2.99,CYNTHIA YOUNG,388,96
186,Mike Hillyer,2005-05-27 11:45:49.000,0.99,ISAAC OGLESBY,395,164
187,Mike Hillyer,2005-05-27 11:47:04.000,0.99,ROSA REYNOLDS,396,228
188,Mike Hillyer,2005-05-27 12:44:03.000,0.99,MELVIN ELLINGTON,398,367
189,Mike Hillyer,2005-05-27 12:48:38.000,4.99,ROSEMARY SCHMIDT,399,120
190,Mike Hillyer,2005-05-27 13:31:51.000,0.99,REGINA BERRY,404,285
191,Mike Hillyer,2005-05-27 13:46:46.000,2.99,BOBBY BOUDREAU,406,462
192,Mike Hillyer,2005-05-27 13:57:38.000,2.99,MARIE TURNER,407,240
193,Mike Hillyer,2005-05-27 13:57:39.000,0.99,SARA PERRY,408,314
194,Mike Hillyer,2005-05-27 14:14:14.000,0.99,CRAIG MORRELL,411,314
195,Mike Hillyer,2005-05-27 14:45:37.000,2.99,JOSEPH JOY,413,770
196,Mike Hillyer,2005-05-27 15:15:11.000,0.99,JANE BENNETT,419,552
197,Mike Hillyer,2005-05-27 15:32:57.000,0.99,SONIA GREGORY,423,387
198,Mike Hillyer,2005-05-27 15:34:01.000,0.99,VIRGINIA GREEN,424,618
199,Mike Hillyer,2005-05-27 15:56:57.000,0.99,ARNOLD HAVENS,426,245
200,Mike Hillyer,2005-05-27 16:22:10.000,0.99,YOLANDA WEAVER,430,417
201,Mike Hillyer,2005-05-27 16:31:05.000,2.99,RAYMOND MCWHORTER,431,984
202,Mike Hillyer,2005-05-27 16:40:29.000,4.99,CATHERINE CAMPBELL,432,248
203,Mike Hillyer,2005-05-27 16:54:27.000,0.99,MARIAN MENDOZA,434,738
204,Mike Hillyer,2005-05-27 18:00:35.000,4.99,GEORGE LINTON,440,973
205,Mike Hillyer,2005-05-27 18:11:05.000,4.99,TERESA ROGERS,441,346
206,Mike Hillyer,2005-05-27 18:35:20.000,4.99,KURT EMMONS,443,439
207,Mike Hillyer,2005-05-27 18:39:15.000,2.99,MINNIE ROMERO,444,158
208,Mike Hillyer,2005-05-27 18:57:02.000,0.99,PAULINE HENRY,447,850
209,Mike Hillyer,2005-05-27 19:18:54.000,2.99,STELLA MORENO,450,296
210,Mike Hillyer,2005-05-27 19:31:16.000,2.99,ERIK GUILLEN,453,967
211,Mike Hillyer,2005-05-27 19:31:36.000,4.99,ISAAC OGLESBY,454,767
212,Mike Hillyer,2005-05-27 19:50:06.000,2.99,TINA SIMMONS,456,370
213,Mike Hillyer,2005-05-27 19:58:36.000,0.99,JAIME NETTLES,458,736
214,Mike Hillyer,2005-05-27 20:00:04.000,0.99,TIM CARY,459,130
215,Mike Hillyer,2005-05-27 20:02:03.000,2.99,MARLENE WELCH,460,921
216,Mike Hillyer,2005-05-27 20:08:55.000,2.99,CLIFFORD BOWENS,461,450
217,Mike Hillyer,2005-05-27 20:11:47.000,2.99,MICHELLE CLARK,463,181
218,Mike Hillyer,2005-05-27 20:44:36.000,2.99,DEANNA BYRD,465,4
219,Mike Hillyer,2005-05-27 20:57:07.000,0.99,LEROY BUSTAMANTE,466,388
220,Mike Hillyer,2005-05-27 21:10:03.000,4.99,FELIX GAFFNEY,467,75
221,Mike Hillyer,2005-05-27 21:14:26.000,2.99,MICHELE GRANT,469,975
222,Mike Hillyer,2005-05-27 21:17:08.000,0.99,NATHANIEL ADAM,470,352
223,Mike Hillyer,2005-05-27 21:36:15.000,0.99,CLAUDE HERZOG,472,295
224,Mike Hillyer,2005-05-27 21:36:34.000,4.99,DAWN SULLIVAN,473,174
225,Mike Hillyer,2005-05-27 22:11:56.000,2.99,NAOMI JENNINGS,474,322
226,Mike Hillyer,2005-05-27 22:16:26.000,2.99,JILL HAWKINS,475,554
227,Mike Hillyer,2005-05-27 22:31:36.000,0.99,LANCE PEMBERTON,476,535
228,Mike Hillyer,2005-05-27 23:00:25.000,4.99,AMY LOPEZ,483,330
229,Mike Hillyer,2005-05-27 23:51:12.000,4.99,ANTONIO MEEK,486,396
230,Mike Hillyer,2005-05-28 00:24:58.000,4.99,ALLISON STANLEY,492,435
231,Mike Hillyer,2005-05-28 00:34:11.000,0.99,RUBEN GEARY,493,40
232,Mike Hillyer,2005-05-28 00:39:31.000,4.99,JUDITH COX,494,403
233,Mike Hillyer,2005-05-28 00:40:48.000,4.99,KARL SEAL,495,226
234,Mike Hillyer,2005-05-28 00:43:41.000,0.99,GLORIA COOK,496,388
235,Mike Hillyer,2005-05-28 01:05:25.000,0.99,LUCILLE HOLMES,500,982
236,Mike Hillyer,2005-05-28 02:05:34.000,0.99,BEATRICE ARNOLD,504,452
237,Mike Hillyer,2005-05-28 02:06:37.000,2.99,CARMEN OWENS,505,15
238,Mike Hillyer,2005-05-28 02:09:19.000,4.99,WESLEY BULL,506,145
239,Mike Hillyer,2005-05-28 02:40:50.000,0.99,EDDIE TOMLIN,508,910
240,Mike Hillyer,2005-05-28 02:51:12.000,0.99,JOANNE ROBERTSON,509,748
241,Mike Hillyer,2005-05-28 03:04:04.000,4.99,RAMONA HALE,511,838
242,Mike Hillyer,2005-05-28 03:08:10.000,2.99,RICARDO MEADOR,513,50
243,Mike Hillyer,2005-05-28 03:11:47.000,0.99,BRYAN HARDISON,516,949
244,Mike Hillyer,2005-05-28 03:17:57.000,0.99,MIKE WAY,517,52
245,Mike Hillyer,2005-05-28 03:18:02.000,0.99,COREY HAUSER,518,891
246,Mike Hillyer,2005-05-28 03:22:33.000,4.99,COURTNEY DAY,519,778
247,Mike Hillyer,2005-05-28 03:27:37.000,2.99,GERALDINE PERKINS,520,842
248,Mike Hillyer,2005-05-28 03:32:22.000,0.99,JEREMY HURTADO,521,524
249,Mike Hillyer,2005-05-28 03:33:20.000,2.99,VICTOR BARKLEY,522,702
250,Mike Hillyer,2005-05-28 03:57:28.000,2.99,MELINDA FERNANDEZ,524,428
251,Mike Hillyer,2005-05-28 04:25:33.000,0.99,BETTY WHITE,525,395
252,Mike Hillyer,2005-05-28 04:27:37.000,2.99,MANUEL MURRELL,526,304
253,Mike Hillyer,2005-05-28 04:28:38.000,2.99,ERICA MATTHEWS,527,59
254,Mike Hillyer,2005-05-28 04:34:17.000,4.99,WESLEY BULL,529,575
255,Mike Hillyer,2005-05-28 05:36:58.000,0.99,SYLVIA ORTIZ,532,613
256,Mike Hillyer,2005-05-28 06:15:25.000,2.99,VIVIAN RUIZ,534,220
257,Mike Hillyer,2005-05-28 06:16:32.000,4.99,JOSEPH JOY,535,915
258,Mike Hillyer,2005-05-28 06:26:16.000,0.99,GERALDINE PERKINS,539,751
259,Mike Hillyer,2005-05-28 06:40:25.000,0.99,SHERRY MARSHALL,540,730
260,Mike Hillyer,2005-05-28 06:42:13.000,4.99,DEANNA BYRD,542,971
261,Mike Hillyer,2005-05-28 07:03:00.000,0.99,PAUL TROUT,544,650
262,Mike Hillyer,2005-05-28 07:16:25.000,0.99,SHARON ROBINSON,546,109
263,Mike Hillyer,2005-05-28 07:35:37.000,0.99,JILL HAWKINS,549,395
264,Mike Hillyer,2005-05-28 08:38:43.000,4.99,LEROY BUSTAMANTE,558,905
265,Mike Hillyer,2005-05-28 08:54:06.000,0.99,JANE BENNETT,561,206
266,Mike Hillyer,2005-05-28 09:10:49.000,0.99,GARY COY,563,11
267,Mike Hillyer,2005-05-28 09:12:09.000,0.99,JENNY CASTRO,564,651
268,Mike Hillyer,2005-05-28 09:26:31.000,4.99,BOBBIE CRAIG,565,327
269,Mike Hillyer,2005-05-28 09:51:39.000,4.99,TERRY CARLSON,566,944
270,Mike Hillyer,2005-05-28 09:57:36.000,2.99,GAIL KNIGHT,568,483
271,Mike Hillyer,2005-05-28 10:15:04.000,0.99,MICHELLE CLARK,570,249
272,Mike Hillyer,2005-05-28 10:17:41.000,0.99,ELMER NOE,571,924
273,Mike Hillyer,2005-05-28 10:35:23.000,0.99,MARY SMITH,573,875
274,Mike Hillyer,2005-05-28 10:44:28.000,0.99,IRENE PRICE,574,849
275,Mike Hillyer,2005-05-28 10:56:09.000,4.99,APRIL BURNS,575,973
276,Mike Hillyer,2005-05-28 11:15:48.000,2.99,AUDREY RAY,578,645
277,Mike Hillyer,2005-05-28 11:19:23.000,4.99,ANA BRADLEY,579,763
278,Mike Hillyer,2005-05-28 11:33:46.000,4.99,ELSIE KELLEY,582,1000
279,Mike Hillyer,2005-05-28 11:49:00.000,4.99,JUDY GRAY,584,398
280,Mike Hillyer,2005-05-28 12:03:00.000,0.99,JANE BENNETT,586,200
281,Mike Hillyer,2005-05-28 13:06:50.000,2.99,WARREN SHERROD,590,104
282,Mike Hillyer,2005-05-28 13:21:08.000,4.99,VIOLA HANSON,592,139
283,Mike Hillyer,2005-05-28 13:41:56.000,2.99,TED BREAUX,594,608
284,Mike Hillyer,2005-05-28 13:59:54.000,0.99,SHELLY WATTS,595,130
285,Mike Hillyer,2005-05-28 14:00:03.000,4.99,TRACY HERRMANN,596,179
286,Mike Hillyer,2005-05-28 14:08:22.000,4.99,FREDERICK ISBELL,601,708
